"","extreme_type","flow_range","flow_mean","flow_sd","flow_IQR"
"1","maximum",107,212.073394495413,61.6835872314596,80
"2","maximum",466,212.073394495413,61.6835872314596,80
"3","minimum",3.62,6.27411214953271,0.964779721922123,1.26
"4","minimum",8.44,6.27411214953271,0.964779721922123,1.26
